seed,GNN_R2,Hybrid_R2,diff_hybrid_minus_gnn
42,0.9266477265449105,0.9320558449615498,0.0054081184166393514
123,0.935578201628202,0.9274182496625925,-0.008159951965609591
456,0.9242508483512952,0.9225913315899118,-0.0016595167613834283
789,0.9336560891760154,0.9266312623837978,-0.007024826792217609
2024,0.9248071163935492,0.9317751760593564,0.006968059665807269
