formula,bulk_modulus_voigt,bulk_modulus_reuss,bulk_modulus_vrh,material_id
MoPt,275.394,274.881,275.137,mp-999502
NaHoSe2,39.102,36.763,37.932,mp-999474
LuSi,97.325,97.293,97.309,mp-1001612
InBi,35.088,35.088,35.088,mp-1001833
LiB,83.425,58.132,70.778,mp-1001835
LiScS2,56.903,54.398,55.65,mp-1001786
LaAu,64.419,63.646,64.033,mp-1002136
Sm2InHg,56.894,56.894,56.894,mp-1005693
Eu(MgBi)2,32.915,32.346,32.63,mp-1006146
HoTlTe2,29.849,29.605,29.727,mp-1007663
HoAu,85.253,81.926,83.589,mp-1007666
HfPt,180.293,172.66,176.476,mp-1007691
DyAu,83.902,81.036,82.469,mp-1007918
ErTlTe2,29.991,29.722,29.857,mp-1007907
FeB,254.969,247.879,251.424,mp-1007881
DyTlTe2,29.884,29.634,29.759,mp-1007908
BiPd,89.647,89.64,89.644,mp-1008488
BaGaSiH,49.849,46.864,48.357,mp-1008506
TmTlTe2,30.652,30.403,30.528,mp-1008561
TiGePt,151.635,151.635,151.635,mp-1008680
YbAg2,51.824,51.275,51.549,mp-1008617
MgAgSb,58.085,58.085,58.085,mp-1008903
FeH,173.813,173.813,173.813,mp-1009077
BeSiAs2,76.366,76.363,76.364,mp-1009087
BeGeAs2,68.999,68.985,68.992,mp-1009088
MnCo,192.154,192.154,192.154,mp-1009133
MnTe,35.201,35.201,35.201,mp-1009222
PaN,221.916,221.916,221.916,mp-1009545
CaN2,87.439,77.936,82.688,mp-1009657
Ca2Si,36.951,36.951,36.951,mp-1009733
Ca2Ge,34.833,34.833,34.833,mp-1009755
Cs2Se,11.808,11.808,11.808,mp-1011695
VS2,44.999,7.734,26.366,mp-849060
BeGeP2,83.097,83.083,83.09,mp-1013527
Ca3SbN,57.655,57.655,57.655,mp-1013548
Sr3AsN,47.628,47.628,47.628,mp-1013555
Sr3PN,49.284,49.284,49.284,mp-1013554
TiZn,110.695,110.695,110.695,mp-1014230
Ti2Zn,112.112,112.1,112.106,mp-1014229
Hf3ZnN,150.025,148.48,149.253,mp-1014252
Zr2N,175.065,174.51,174.788,mp-1014265
Ti3ZnN,147.03,144.431,145.73,mp-1014257
HfZnN2,188.584,188.292,188.438,mp-1014251
Hf2Zn,109.609,109.609,109.609,mp-1014231
ZrZnN2,177.392,176.953,177.173,mp-1014244
Ti2ZnN,149.32,145.961,147.64,mp-1014227
TiZnN2,154.722,153.936,154.329,mp-1016108
MgSiAs2,58.484,57.488,57.986,mp-1016197
LuTlTe2,30.747,30.459,30.603,mp-1017508
TmAu,88.505,84.939,86.722,mp-1017507
ZrCd,79.312,78.924,79.118,mp-1017540
CdNi3N,182.751,182.751,182.751,mp-1017554
HfBRh3,223.425,223.425,223.425,mp-1017578
Lu3AlN,99.463,99.463,99.463,mp-1017627
TiAg,102.925,101.985,102.455,mp-1017985
Tc3N,333.206,329.069,331.138,mp-1017987
KInO2,87.642,85.739,86.691,mp-1018031
MgSe,45.009,44.932,44.971,mp-1018040
TiS,141.502,137.884,139.693,mp-1018028
LuAgO2,118.219,112.253,115.236,mp-1018025
VN,336.359,331.646,334.002,mp-2394167
CuPd,147.228,147.228,147.228,mp-1018029
CrSnRh2,172.926,162.697,167.812,mp-1018066
LaNiC2,138.001,133.414,135.707,mp-1018048
FeSnRh2,177.437,177.161,177.299,mp-1018062
ZrTe2,18.214,8.741,13.477,mp-1018107
Zr2Cd,79.201,78.791,78.996,mp-1018104
Ti2Rh,162.654,161.646,162.15,mp-1018124
GaBi,36.141,36.141,36.141,mp-1018126
Li,13.813,13.796,13.804,mp-976411
HoNiBi,81.591,81.591,81.591,mp-1018139
ScCu2,101.757,101.503,101.63,mp-1018149
LiHPd,92.147,72.364,82.256,mp-1018133
LiCdAs,46.596,46.596,46.596,mp-1009006
ScAu2,118.448,116.691,117.569,mp-1018148
AlTc2,224.842,224.226,224.534,mp-1018166
LaH3,82.577,82.577,82.577,mp-1018144
Hf2Hg,111.61,111.389,111.5,mp-1018154
NbPd2,195.472,193.725,194.599,mp-1018151
ScAg2,88.996,88.677,88.836,mp-1018128
LaBiPt,78.997,78.997,78.997,mp-1018136
VI2,14.207,4.122,9.164,mp-1018138
Tm3AlN,96.02,96.02,96.02,mp-1018641
KCdSb,22.09,21.406,21.748,mp-1018652
ErZnGa,76.939,74.805,75.872,mp-1018690
HfVSi,161.195,160.717,160.956,mp-1018720
Hf2GaSb3,93.339,93.055,93.197,mp-1018709
HfGaCu,125.9,124.429,125.165,mp-1018714
HfVGe,156.903,156.854,156.878,mp-1018726
HoFeSi,103.121,99.321,101.221,mp-1018725
LaSbPd,82.992,74.26,78.626,mp-1018745
Li3HoSb2,44.527,44.404,44.465,mp-1018764
Li3PrBi2,37.333,37.317,37.325,mp-1018770
Li3SmBi2,38.288,38.237,38.262,mp-1018780
NdSbTe,58.849,57.915,58.382,mp-1018814
PrFeSi,84.497,69.961,77.229,mp-1018895
PrSbPt,95.101,78.532,86.816,mp-1018902
PrSbTe,57.835,56.921,57.378,mp-1018936
SmGeRu,90.674,89.017,89.845,mp-1019109
KMgAs,27.67,26.66,27.165,mp-1019089
SmCoSi,135.415,72.752,104.084,mp-1019108
KMgBi,20.185,19.514,19.85,mp-1019105
SmSbTe,60.389,59.477,59.933,mp-1019138
SmFeSi,89.517,80.099,84.808,mp-1019100
SrSnHg,38.268,34.056,36.162,mp-1019259
SrZnSn,40.37,34.666,37.518,mp-1019279
ThBiTe,65.84,65.7,65.77,mp-1019362
SrHgPb,33.502,31.02,32.261,mp-1019277
TcB2,314.676,304.841,309.759,mp-1019317
ThSbTe,69.133,69.061,69.097,mp-1019361
B2S2O9,42.173,21.983,32.078,mp-1019509
BaZrO3,147.122,147.005,147.064,mp-1019544
BeGeN2,189.465,189.393,189.429,mp-1019550
LiGe2N3,123.101,122.436,122.768,mp-1020059
LiC12,242.748,37.818,140.283,mp-1021323
H4C,0.79,0.79,0.79,mp-1021328
HoCuSn,80.491,78.713,79.602,mp-1018724
TmInCu4,109.749,109.749,109.749,mp-1024957
PrNiSb,92.496,84.171,88.333,mp-1024955
HoCu4Ag,104.289,104.289,104.289,mp-1024987
ErCu2,87.498,86.216,86.857,mp-1024991
DyB2Ir3,248.125,246.737,247.431,mp-1024993
HoCu4Au,110.424,110.424,110.424,mp-1024994
LuB2Ir3,252.221,250.992,251.607,mp-1024990
ErZn2,70.32,69.97,70.145,mp-1025096
TbB2Ir3,247.58,246.277,246.928,mp-1025075
PrSn2,54.676,52.794,53.735,mp-1025069
YbB2Ir3,232.999,232.304,232.651,mp-1025071
TiGaPd,142.614,137.741,140.178,mp-1025045
LuAlGe,84.547,84.224,84.386,mp-1025105
Zr(VGa2)2,131.998,131.172,131.585,mp-1025165
LuGa5Co,87.495,87.284,87.39,mp-1025155
UTl2O4,45.07,40.184,42.627,mp-1025154
K2PuO4,54.86,51.904,53.382,mp-1025158
TmCu4Ag,109.243,109.243,109.243,mp-1025116
EuAl3Cu2,80.103,79.417,79.76,mp-1025136
HoCu4Pd,115.869,115.869,115.869,mp-1025134
UNi2B2C,243.517,241.973,242.745,mp-1025123
InPPd5,154.668,154.285,154.477,mp-1025161
Hf(VGa2)2,133.671,132.859,133.265,mp-1025167
Ho2B4C,166.378,165.276,165.827,mp-1025183
Ti3B4,225.314,223.853,224.584,mp-1025170
Cs2CaCl4,17.306,17.303,17.305,mp-1025185
CdPPt5,198.004,197.131,197.567,mp-1025187
HfGa5Co,104.096,103.215,103.655,mp-1025193
Rb2PdCl4,10.339,10.324,10.332,mp-1025201
ScGa5Ni,84.754,84.332,84.543,mp-1025191
Mn(CrSe2)2,49.716,47.85,48.783,mp-1025180
Tm2Cr2C3,166.87,165.595,166.232,mp-1025181
Y2Re2Si2C,143.761,141.831,142.796,mp-1025205
Eu2TiO4,133.074,133.068,133.071,mp-1025200
Cs2PuO4,42.848,30.483,36.666,mp-1025208
Rb2CuF4,35.194,34.958,35.076,mp-1025177
InAsPt5,189.226,189.184,189.205,mp-1025212
Tm(TiGa2)2,97.193,96.394,96.793,mp-1025238
Hf4Al3,116.507,116.177,116.342,mp-1025223
ZnPPd5,157.657,157.433,157.545,mp-1025258
Er2B4C,168.106,166.64,167.373,mp-1025246
MgPPd5,145.074,144.764,144.919,mp-1025261
ScGa5Co,93.093,92.96,93.026,mp-1025242
ZnPd5Se,136.888,136.532,136.71,mp-1025222
ErGa5Co,86.199,86.177,86.188,mp-1025225
InPPt5,203.407,203.07,203.239,mp-1025213
TmGa5Co,97.472,97.188,97.33,mp-1025257
Cs2CaBr4,13.981,13.961,13.971,mp-1025267
Cs2CuF4,25.073,24.295,24.684,mp-1025265
GaPPt5,214.27,214.111,214.19,mp-1025270
Cs2NpO4,41.503,27.015,34.259,mp-1025274
SnPPd5,154.821,154.077,154.449,mp-1025296
TbGa5Co,92.2,91.991,92.096,mp-1025288
InAsPd5,144.793,144.789,144.791,mp-1025293
ZnPPt5,209.512,209.102,209.307,mp-1025272
Ti2NiS4,91.482,90.796,91.139,mp-1025263
Ce2Re2Si2C,115.308,113.113,114.211,mp-1025285
AlPPt5,218.912,218.892,218.902,mp-1025271
Tb2Cr2C3,156.465,156.413,156.439,mp-1025266
Rb2ZnF4,37.253,37.222,37.238,mp-1025286
AlAsPt5,197.617,197.001,197.309,mp-1025306
Zr(TiGa2)2,113.524,111.55,112.537,mp-1025304
Pr(Re2Si)2,166.161,165.083,165.622,mp-1025309
CdAsPt5,183.942,183.472,183.707,mp-1025311
SiSnPt5,201.499,200.928,201.214,mp-1025324
GaPPd5,163.286,163.041,163.164,mp-1025301
HgPPd5,148.78,147.745,148.263,mp-1025302
Y2Fe2Si2C,125.683,124.277,124.98,mp-1025339
Dy2Cr2C3,160.482,159.717,160.099,mp-1025323
Lu(TiGa2)2,98.705,97.759,98.232,mp-1025335
Mn(AlTe2)2,28.264,27.573,27.918,mp-1025315
Tl2CuF4,38.104,34.573,36.339,mp-1025338
TlPPd5,146.285,145.405,145.845,mp-1025348
GaAsPd5,152.094,152.091,152.092,mp-1025346
Er2Fe2Si2C,133.675,129.671,131.673,mp-1025354
YGa5Co,85.962,85.953,85.957,mp-1025375
InSiPt5,199.205,198.523,198.864,mp-1025370
ZnAsPt5,194.362,194.037,194.2,mp-1025356
Na2Ti2As2O,65.063,54.762,59.913,mp-1025360
Y2Cr2C3,156.457,155.394,155.926,mp-1025372
Sc(VGa2)2,118.589,118.365,118.477,mp-1025365
Cd(AgI2)2,10.123,10.106,10.114,mp-1025377
CePd7,143.898,143.898,143.898,mp-1025415
Tb2B4C,160.863,159.985,160.424,mp-1025379
ThSi2Ni,132.757,131.529,132.143,mp-1025413
TmPt,112.741,107.462,110.101,mp-1025409
SmSi2Ni,103.543,98.908,101.226,mp-1025420
TmSi2Ni,117.891,115.924,116.907,mp-1025393
LaSi2Ag,88.294,86.999,87.646,mp-1025390
NbTl3Se4,18.062,18.062,18.062,mp-1025396
SmPt,98.477,96.62,97.549,mp-1025431
CaZrF6,56.574,56.574,56.574,mp-1025456
YPt,104.177,100.128,102.153,mp-1025448
TbAu3,103.265,99.476,101.371,mp-1025478
LuAu3,112.858,111.402,112.13,mp-1025526
AlV2C,174.763,174.734,174.748,mp-1025497
TmGa2Ni,100.754,99.269,100.012,mp-1025504
Zr2TlC,115.756,114.617,115.186,mp-1025524
Ti2GaN,157.13,157.121,157.125,mp-1025550
CoMoP2,213.069,211.782,212.426,mp-1025557
GaPt,167.158,167.158,167.158,mp-1025551
PrSi2Ag,91.888,90.518,91.203,mp-1025554
Tl3VSe4,19.502,19.502,19.502,mp-1025549
LuGa2Ni,104.244,102.674,103.459,mp-1025552
Ca(ZnN)2,122.939,122.26,122.599,mp-1029258
VZn2N3,153.136,152.78,152.958,mp-1029262
RbVN2,41.892,37.978,39.935,mp-1029312
CsVN2,105.401,105.401,105.401,mp-1029293
LiRuN,107.249,101.832,104.541,mp-1029251
CaZrN2,160.36,158.817,159.589,mp-1029267
LiV2N3,148.865,146.009,147.437,mp-1029338
Y4Se3N2,69.866,65.36,67.613,mp-1029349
Hf2SeN2,159.856,158.497,159.176,mp-1029330
KPtN,84.577,47.458,66.018,mp-1029347
Mg2VN3,133.661,123.692,128.676,mp-1029368
LiTi2N3,138.908,129.781,134.345,mp-1029424
KGe2N3,135.695,134.901,135.298,mp-1029404
Li2SnN2,115.539,110.365,112.952,mp-1029385
CaHfN2,168.759,167.12,167.939,mp-1029359
NbZn2N3,139.149,138.82,138.984,mp-1029422
Mg2TaN3,124.833,119.936,122.385,mp-1029442
Mg2SbN3,115.133,114.438,114.786,mp-1029378
SrHfN2,115.157,114.299,114.728,mp-1029396
Li5OsN4,70.391,70.104,70.247,mp-1029448
ZnSnN2,131.515,131.408,131.461,mp-1029469
Ba(CoN)2,116.677,71.647,94.162,mp-1029457
Mg2CrN3,136.395,112.18,124.288,mp-1029520
Ca7SiN6,79.517,79.13,79.323,mp-1029474
Li6CrN4,84.63,83.991,84.311,mp-1029498
Ba3GaN3,40.904,34.59,37.747,mp-1029573
Ca2CoN2,74.941,74.155,74.548,mp-1029532
Sr3ReN3,58.81,58.555,58.683,mp-1029531
Li3InN2,85.511,85.511,85.511,mp-1029562
Sr4ZrN4,72.938,69.068,71.003,mp-1029580
Li7SbN4,75.104,75.104,75.104,mp-1029522
Li3YN2,80.904,80.904,80.904,mp-1029592
Ba3RuN3,45.027,44.136,44.581,mp-1029537
Ba3OsN3,48.949,48.839,48.894,mp-1029640
Ca3FeN3,72.432,71.309,71.871,mp-1029659
Cs2CN2,19.372,16.249,17.81,mp-1029699
CaSnN2,99.529,91.298,95.413,mp-1029633
Y3Si6N11,141.97,141.792,141.881,mp-1029652
Ca4ZrN4,87.414,86.578,86.996,mp-1029660
Ca4HfN4,89.23,88.133,88.682,mp-1029730
Sr3RuN3,61.748,61.005,61.376,mp-1029750
Sr3IrN3,66.065,65.731,65.898,mp-1029741
MgSnN2,119.958,119.628,119.793,mp-1029791
Sr3Al3N5,104.839,103.224,104.031,mp-1029733
Li6FeN4,76.92,76.4,76.66,mp-1029739
Sr4TiN4,73.379,72.56,72.97,mp-1029799
Li2GeN2,87.901,78.236,83.069,mp-1029776
Rb2CN2,26.329,25.521,25.925,mp-1029784
Li6OsN4,84.784,83.339,84.062,mp-1029826
Sr5(SiN3)2,83.29,79.405,81.348,mp-1029868
Ca3GaN3,79.586,79.585,79.585,mp-1029943
LiVN2,82.326,79.175,80.75,mp-1029932
LiNbN2,119.786,102.199,110.992,mp-1029903
Ca3Al3N5,114.835,110.401,112.618,mp-1029921
Zn(CuO2)2,81.983,44.463,63.223,mp-1047156
CsH,8.987,8.987,8.987,mp-1057286
LaNi,67.631,66.977,67.304,mp-1064719
BiRh,112.206,111.789,111.998,mp-1064554
CaSi3Pt,104.693,103.143,103.918,mp-1069604
NdSiNi4,167.876,167.41,167.643,mp-1070857
TbSiNi4,152.113,150.628,151.371,mp-1070859
CeGaCo,89.269,86.145,87.707,mp-1071448
TbSn2,61.217,59.122,60.169,mp-1072922
TmSn2,62.53,60.726,61.628,mp-1077102
La2CuO4,125.355,123.216,124.285,mp-1077929
MnB4,278.705,268.322,273.514,mp-1078253
CrB4,282.088,267.783,274.936,mp-1078278
YbGa2Ni,74.108,65.452,69.78,mp-1078497
MnGe,142.529,142.529,142.529,mp-1078464
Ho6MnTe2,56.241,55.232,55.737,mp-1079239
B3Os2,345.289,330.905,338.097,mp-1079348
Ba2TaInO6,140.02,140.02,140.02,mp-1079630
Ca2H6Ru,56.915,56.915,56.915,mp-1079896
CrB,305.035,304.835,304.935,mp-1080664
U(FeB3)2,202.265,199.945,201.105,mp-1087505
Ti3GeC2,173.602,173.552,173.577,mp-1095505
Tm3(CuSn)4,85.288,84.921,85.104,mp-1095591
DyNi3,132.947,128.824,130.886,mp-1102078
UReB4,277.109,276.627,276.868,mp-1102585
SmAsS,80.001,79.51,79.756,mp-1102762
Bi2Pd3Se2,50.873,50.534,50.704,mp-1103697
NdGa6,61.625,59.641,60.633,mp-1104008
Sr2YOsO6,138.825,138.81,138.817,mp-1105147
Sm(CoB)4,206.75,200.992,203.871,mp-1105839
Nd(FeB)4,218.112,215.449,216.78,mp-1106404
Re,364.911,364.886,364.898,mp-975065
Re3Ir,365.406,365.406,365.406,mp-974430
Re3Rh,330.507,327.487,328.997,mp-1186923
TiCu4,141.125,140.965,141.045,mp-1188441
BeCN2,310.333,310.141,310.237,mp-1189451
TmAlB4,185.038,176.976,181.007,mp-1191390
ScCoB4,226.911,220.838,223.874,mp-1191630
Sc2ReB6,227.209,225.594,226.401,mp-1196116
V5B6,278.031,276.255,277.143,mp-1206441
LuCoB4,219.973,216.324,218.149,mp-1210846
ZrTaB4,269.707,268.192,268.949,mp-1215209
ZrNbB4,261.21,259.816,260.513,mp-1215211
TiNbB4,269.993,266.527,268.26,mp-1216692
TcRu,307.117,305.033,306.075,mp-1217363
TaTiB4,278.6,275.039,276.819,mp-1217898
Ta3TiB4,266.591,266.081,266.336,mp-1217975
TaB2Mo,296.834,296.517,296.676,mp-1217965
ReOs,386.241,385.54,385.891,mp-1219509
RbBH4,11.822,11.822,11.822,mp-1219553
Rb3H(SeO4)2,19.527,19.058,19.292,mp-1219652
OsRu,355.921,355.38,355.651,mp-1220023
Mo2CN,355.211,351.06,353.135,mp-1221519
HfTaB4,278.513,276.865,277.689,mp-1224283
CsBH4,10.872,10.872,10.872,mp-1225884
Cs3H(SeO4)2,17.697,17.405,17.551,mp-1226195
Cr2Ir2C,307.984,307.677,307.831,mp-1226352
B4OsW,325.961,314.194,320.077,mp-1228631
B4C,238.936,237.111,238.023,mp-1238815
Fe,207.747,206.439,207.093,mp-13
Tb,38.74,38.158,38.449,mp-18
Pd,166.982,166.982,166.982,mp-2
Te,22.623,16.088,19.355,mp-19
Ru,310.48,309.645,310.062,mp-33
Os,400.984,399.836,400.41,mp-49
Ge,57.916,57.916,57.916,mp-998883
Th,55.005,55.005,55.005,mp-37
U,150.101,145.519,147.81,mp-44
Ca,17.224,17.224,17.224,mp-45
La,25.925,25.794,25.86,mp-26
Ni,173.808,173.808,173.808,mp-23
Cu,151.394,151.394,151.394,mp-989695
Ce,39.339,39.337,39.338,mp-28
Rh,252.9,252.9,252.9,mp-74
Cd,41.965,41.854,41.91,mp-94
In,35.252,35.238,35.245,mp-85
Cr,234.148,233.156,233.652,mp-17
Co,200.587,200.587,200.587,mp-102
Dy,40.433,40.06,40.246,mp-88
Tl,26.678,26.078,26.378,mp-82
Ir,345.128,345.128,345.128,mp-101
Sb,36.704,28.187,32.445,mp-104
Sm,36.693,36.692,36.692,mp-68
Be,120.143,119.894,120.019,mp-20
Nb,172.165,171.936,172.05,mp-75
Ti,112.955,112.807,112.881,mp-46
W,302.264,302.264,302.264,mp-91
Sc,54.573,54.493,54.533,mp-36
Hf,108.327,108.248,108.287,mp-103
Tc,296.018,295.997,296.007,mp-867351
Mo,262.529,262.529,262.529,mp-129
Ne,3.177,3.177,3.177,mp-111
Sr,11.543,11.516,11.529,mp-867202
Tm,45.526,45.506,45.516,mp-1018122
Zr,93.989,93.673,93.831,mp-1077723
Ga,50.194,49.854,50.024,mp-142
Sn,35.858,35.858,35.858,mp-1022725
Si,88.916,88.916,88.916,mp-971661
Nd,33.845,33.842,33.844,mp-123
Ba,8.934,8.934,8.934,mp-56
Pt,248.014,248.014,248.014,mp-126
Y,41.723,41.712,41.717,mp-9
Ho,43.161,43.091,43.126,mp-973986
V,181.232,181.232,181.232,mp-146
B,212.455,207.99,210.223,mp-160
VNi3,217.13,217.128,217.129,mp-171
SrGa2,42.438,40.036,41.237,mp-182
Mg,36.451,36.445,36.448,mp-973364
MnAl6,110.79,110.778,110.784,mp-173
Zr2Cu,105.775,105.639,105.707,mp-193
SiRu,203.638,203.638,203.638,mp-189
YRh,106.896,106.896,106.896,mp-191
Al5Co2,124.136,124.122,124.129,mp-196
HoPt3,174.749,174.749,174.749,mp-195
ZrRh3,209.808,209.808,209.808,mp-229
YSb,57.085,57.085,57.085,mp-215
WS2,53.797,2.8120000000000003,28.304,mp-1025571
ZrRu,180.261,180.261,180.261,mp-214
Sm2O3,130.35,130.35,130.35,mp-218
DyRh,112.175,112.175,112.175,mp-232
SmCu5,105.315,104.541,104.928,mp-227
MoP,223.201,215.455,219.328,mp-219
CdF2,95.332,95.332,95.332,mp-241
SrB6,144.836,144.836,144.836,mp-242
TiF3,102.445,101.952,102.198,mp-246
Nb5Sb4,96.987,96.982,96.984,mp-274
LaN,121.33,121.33,121.33,mp-256
NaHg,17.327,17.115,17.221,mp-255
BaS3,33.243,32.915,33.079,mp-239
BeTe,56.315,56.315,56.315,mp-252
TaIr3,323.564,323.564,323.564,mp-265
AlMo3,224.498,224.498,224.498,mp-259
Zr2Pd,124.384,123.404,123.894,mp-266
TbNi2,119.456,119.456,119.456,mp-276
MnV,243.086,243.086,243.086,mp-316
TiOs,248.343,248.343,248.343,mp-291
B2O3,42.59,23.739,33.164,mp-306
ThAg2,85.295,82.581,83.938,mp-309
Th3Ge2,85.641,85.616,85.628,mp-314
TiFe,198.715,198.715,198.715,mp-305
LiIr,155.22,128.352,141.786,mp-279
PbF2,67.722,67.722,67.722,mp-315
V3As,195.129,195.129,195.129,mp-292
HoAs,77.463,77.463,77.463,mp-295
PtS,139.097,123.283,131.19,mp-288
SrIr2,146.445,146.445,146.445,mp-318
SnRh,140.398,140.398,140.398,mp-317
YbPt3,158.564,158.564,158.564,mp-300
BaZn5,47.626,47.61,47.618,mp-303
AlCo,178.781,178.781,178.781,mp-284
Yb3Si5,52.433,52.405,52.419,mp-349
Zr2Ni,118.584,117.031,117.807,mp-328
TmPd,97.651,97.651,97.651,mp-348
Zr5Te4,68.345,68.322,68.334,mp-350
PrN,133.177,133.177,133.177,mp-1009639
HfO2,209.068,200.74,204.904,mp-775757
PbF4,45.491,16.548000000000002,31.019,mp-341
SmPd3,120.483,120.483,120.483,mp-357
SiNi,167.313,162.325,164.819,mp-999192
ScAl,78.486,78.486,78.486,mp-331
Nd5Si4,65.48,63.483,64.481,mp-355
Cu2O,111.715,111.715,111.715,mp-361
Ni3S2,127.151,126.706,126.928,mp-362
BaGa4,47.993,47.242,47.617,mp-335
SmTe,60.983,60.983,60.983,mp-342
NbGe2,145.777,142.703,144.24,mp-363
MgB4,161.517,155.877,158.697,mp-365
MgP4,58.095,56.831,57.463,mp-384
TiO2,186.874,181.619,184.247,mp-2420244
UO3,153.034,153.034,153.034,mp-375
AlRh,194.408,194.408,194.408,mp-364
KCd13,38.647,38.647,38.647,mp-397
LuRh,122.628,122.628,122.628,mp-377
PrSn3,56.073,56.073,56.073,mp-376
VPt3,237.489,237.489,237.489,mp-372
Te2Pt,55.357,34.994,45.176,mp-399
ZrAl3,102.818,102.591,102.705,mp-395
ZnNi,144.716,144.674,144.695,mp-429
CdTe,35.041,35.041,35.041,mp-2872104
FeAs,161.946,158.722,160.334,mp-427
DyAl,64.613,64.375,64.494,mp-433
Nd2S3,74.77,73.984,74.377,mp-438
GePd2,155.208,150.311,152.76,mp-423
Sc2S3,56.007,55.857,55.932,mp-401
Mg2Ge,49.429,49.429,49.429,mp-1018794
PrMg3,38.445,38.445,38.445,mp-428
MgAu,81.405,81.405,81.405,mp-437
SmRh,101.019,101.019,101.019,mp-436
NdAl2,72.11,72.11,72.11,mp-400
YbB6,154.194,154.194,154.194,mp-419
MnRh,183.708,183.708,183.708,mp-417
BeS,92.273,92.273,92.273,mp-422
NaGa4,39.261,39.186,39.224,mp-454
PrZn,50.277,50.277,50.277,mp-460
AlF3,47.118,31.119,39.119,mp-468
CdAs2,37.513,35.941,36.727,mp-471
ScPt3,198.156,198.156,198.156,mp-481
CoAs3,108.351,108.351,108.351,mp-452
Ti2O3,215.156,213.631,214.394,mp-776456
SmGa2,74.609,69.094,71.852,mp-477
KF,29.839,29.839,29.839,mp-463
CaAu2,70.517,61.085,65.801,mp-443
Th3N4,156.194,137.878,147.036,mp-467
Rb2Te,11.393,11.393,11.393,mp-441
NbB2,287.537,285.587,286.562,mp-450
HoSe,82.998,82.998,82.998,mp-464
GeO2,211.214,194.617,202.915,mp-223
CuAu,141.111,135.292,138.201,mp-522
Te3As2,19.654,10.79,15.222,mp-484
TiN,278.511,278.511,278.511,mp-998908
SrSi2,58.246,58.246,58.246,mp-496
HfZn2,110.274,110.274,110.274,mp-514
ZrNi3,174.598,172.401,173.5,mp-485
LuGa3,68.978,68.978,68.978,mp-495
ThS,118.095,118.095,118.095,mp-503
LuSb,63.1,63.1,63.1,mp-516
SrHg,27.259,27.259,27.259,mp-542
TmAu2,106.265,104.064,105.164,mp-560
CaAg,35.619,33.017,34.318,mp-538
ZrNi,139.608,138.565,139.087,mp-556
Ta3Sb,187.381,187.381,187.381,mp-541
YPd3,124.541,124.541,124.541,mp-559
Sb2Pt,105.593,105.593,105.593,mp-562
BaCd,19.668,19.668,19.668,mp-527
Ga2S3,32.423,30.028,31.225,mp-539
HoRh2,156.517,156.517,156.517,mp-546
ScSb,65.333,65.333,65.333,mp-549
B13C2,224.211,222.08,223.146,mp-576
TePd,98.016,97.9,97.958,mp-564
PrP,75.919,75.919,75.919,mp-601
NdTe,58.456,58.456,58.456,mp-570
TiSb2,89.664,88.698,89.181,mp-568
TiRu,215.387,215.387,215.387,mp-592
SmCd,51.061,51.061,51.061,mp-572
Ta2Co,213.65,213.614,213.632,mp-574
GaAg2,82.709,82.514,82.611,mp-578
CeIr2,195.743,195.743,195.743,mp-582
Te2Mo,29.941,3.947,16.944,mp-602
U3As4,100.456,100.456,100.456,mp-606
YMg,41.771,41.771,41.771,mp-615
Te2Pd3,108.562,104.111,106.336,mp-613
LaSn3,56.392,56.392,56.392,mp-633
NpSe,76.476,76.476,76.476,mp-627
TiC,251.478,251.478,251.478,mp-631
ScRh3,185.005,185.005,185.005,mp-635
YB4,177.715,177.122,177.419,mp-637
TbP,85.585,85.585,85.585,mp-645
ThO2,188.295,188.295,188.295,mp-643
Mg3Ru2,105.762,105.762,105.762,mp-625
YbZn2,47.299,46.856,47.078,mp-657
HoNi2,124.103,124.103,124.103,mp-673
ThAl2,89.305,84.232,86.769,mp-669
PrGa2,70.914,67.207,69.061,mp-668
Na2S,28.189,28.189,28.189,mp-648
ZrW2,213.964,213.964,213.964,mp-675
FePt3,263.838,263.838,263.838,mp-649
LuS,104.585,104.585,104.585,mp-656
SnSe2,21.138,2.045,11.592,mp-665
NaF,46.136,46.136,46.136,mp-682
PrCd,47.806,47.806,47.806,mp-646
Be5Pd,142.084,142.084,142.084,mp-650
AlN,195.038,194.202,194.62,mp-661
NdGe,71.497,71.131,71.314,mp-663
CdS,53.117,53.115,53.116,mp-370
LaPd3,109.965,109.965,109.965,mp-674
Er2O3,145.923,145.923,145.923,mp-679
VSe2,27.277,8.68,17.979,mp-694
RhO2,239.205,230.613,234.909,mp-725
P2Pt,175.121,175.121,175.121,mp-730
SiPt,173.874,173.469,173.672,mp-696
HgF,39.642,22.432,31.037,mp-706
TbCd,54.797,54.797,54.797,mp-721
GeSe,22.381,16.64,19.51,mp-700
TlF,8.073,5.582,6.828,mp-720
Cr3Si,246.829,246.829,246.829,mp-729
Tb2C,58.0,55.028,56.514,mp-692
LaAs,66.566,66.566,66.566,mp-708
SmP,80.277,80.277,80.277,mp-710
SnPd3,145.871,145.871,145.871,mp-718
SeO2,19.757,15.468,17.612,mp-726
SnSe,25.456,22.222,23.839,mp-691
Li2Pd,52.42,48.977,50.698,mp-728
HoP,88.424,88.424,88.424,mp-744
MgB2,151.6,143.268,147.434,mp-763
Ti2Cu,131.237,130.619,130.928,mp-742
RbN3,18.111,17.862,17.987,mp-743
ZnSb,47.798,47.667,47.732,mp-753
