model,seed,RMSE,MAE,R2
Fusion,42,0.10312375082357583,0.057122405618429184,0.9264780879020691
Fusion,123,0.09610124419227618,0.052258532494306564,0.9361504912376404
Fusion,456,0.09381395880189485,0.0525655634701252,0.9391536712646484
Fusion,789,0.09922369452794132,0.05216435343027115,0.9319339990615845
Fusion,2024,0.09753255639855939,0.05436496436595917,0.9342343807220459
